Bezirk;PLZ;Straße und Hausnummer;Name der Praxis;Vor? und Zuname der Ärztin/des Arztes;Fachgebiet;Sprechzeiten;Terminbuchung telefonisch unter:;Terminbuchung per E?Mail unter:;Terminbuchung online unter:;Weitere Informationen für Impfwillige;Website der Arztpraxis, falls vorhanden
Charlottenburg? Wilmersdorf;10623;Grolmanstr. 51;Morguet/Majeed;Sahar Abdul Majeed;Hausarzt;Mo,Di, Mi, Fr 8?12;030/3123630;morguet?majeed@berlin.de;;;www.praxen?morguet? majeed.de
Charlottenburg? Wilmersdorf;10625;Bisamrckstr. 95/96;MVZ Dr. Kaleth und Kollegen;Sabine Eigenwillig;Hausarzt;Mo.?Fr. 8:00?18:00;030 80105150;info@kaleth?und?kollegen.de;https://www.doctolib.de/allgemeinm edizin/berlin/sabine?eigenwillig? berlin;;www.kaleth?und?kollegen.de
Charlottenburg? Wilmersdorf;10629;Schlüterstraße 38;Praxis Wünsche;Thoms Wünsche;Hausarzt;"Mo: 8:00?12:30 und 14:00? 19:00 Die: 8:00?12:30 und
14:00?19:00 Mi: 7:00?14:00 Do:08:00?12:30 und 14:00? 19:00 Fr: 7:00?14:00";308856430;service@praxis?wuensche.com;www.praxis?wuensche.com;;www.praxis?wuensche.com
Charlottenburg? Wilmersdorf;10709;Westfälische Str. 32;Dr.med.Marlies Machens, Dr.med. Laura Freier;Dr.med.Marlies Machens, Dr.med. Laura Freier;Hausärztin/Hausarzt;Impfsprechstunde: Donnerstag: 11:05?11:50h, 15:00?15:50h;89541291;mail@dieinternistin.de;;;www.dieinternistin.de
Charlottenburg? Wilmersdorf;10711;Joachim?Friedrich?Str. 16;Praxisgemeinschaft Wiegemann & Gerber;Dr. Thomas Wiegemann;Hausarzt;"Montag, Mittwoch, Freitag: 9 ? 14 Uhr Dienstag und
Donnerstag: 13 ? 18 Uhr";;mail@praxis?wiegemann.de;;Der Termin wird, soweit verfügbar, nach der Kontaktaufnahme, die ausschließlich per Email erfolgen sollte, mitgeteilt. Zum Termin bitte Versichertenkarte und Impfpass mitbringen.;
Charlottenburg? Wilmersdorf;10719;Pariser Straße 4;Dr. Holger Franz;Dr. Holger Franz;Haut? und Geschlechtskrankheiten;Mo 10?13 & 15?18 Di 8?13 Mi 10?13 & 15?18 Do 10?15 Fr 9?13;?;Hautarzt.Franz.Berlin@t? online.de;?;;Hautarzt?Franz?Berlin.de
Charlottenburg? Wilmersdorf;10787;Ansbacher Str. 17;orthos MVZ am Wittenbergplatz;Dr. Karsten Stoeckmann / Dr Margarita Sanchez Garcia;Hausarzt;"Montag ? Donnerstag 07.30
? 19.00 Uhr Freitag 08.00 ?
18.00 Uhr";030 / 780 99 88 0;info@orthos?berlin.de;;Dr. Karsten Stoeckmann / Dr Margarita Sanchez Garcia;
Charlottenburg? Wilmersdorf;10789;Rankestrasse 8;MVZ Rankestrasse GmbH;Dr. Christine Sommerfeld/ Dr. Natascha Hess;Innere Medizin (fachärztliche Versorgung);Montag 9?16 Uhr Dienstag 9?15 Uhr Donnerstag 8?15 Uhr Freitag 8?13 Uhr Bitte immer nur nach Vereinbarung kommen !;30 10 46 70;kontakt@mvz?rankestrasse.de;;;MVZ?Rankestrasse.de
Charlottenburg? Wilmersdorf;13627;Reichweindamm 31;PD Dr. med. Petra Koehne, Fachärzte für Kinder? und Jugendmedizin;Petra Koehne;Kinder? und Jugendmedizin;"Montag, Dienstag und Donnerstag 09:00–12:00,
15:00–18:00; Mittwoch
09:00–12:00; Donnerstag
09:00–12:00, 15:00–18:00;
Freitag 09:00–18:00";030?3452071/2;Praxisteam_Koehne@web.de;Doctolib;Impftermine werden derzeit v.a. am Dienstag und Donnerstag Vormittag, sowie am Mittwoch und Freitag Nachmittag vergeben. Die angebotenen Impfzeiten richten sich v.a. nach der Verfügbarkeit der Impfstoffe. Zum Impftermin mitzubringen sind die Versichertenkarte, der unterschriebene Aufklärungs? und Einwilligungsbogen für die Covid?Impfung (erhältlich auf der Webseite des RKI) und das Impfbuch (sofern vorhanden).;
Charlottenburg? Wilmersdorf;14193;Warmbrunner Str. 44;Morguet/Majeed;Dr. Johanna Morguet;Hausarzt;Mo, Di, Do, Fr 8?12;030/8252066;morguet?majeed@berlin.de;;;www.praxen?morguet? majeed.de
Charlottenburg? Wilmersdorf;14199;Hohenzollerndamm 53;MVZ Hohenzollerndamm 53;Anja Kirner;Hausärztin/Hausarzt;"Montag: 8?12 Uhr Dienstag:
8?12 Uhr Mittwoch: 11?15 Uhr Donnerstag: 14?18 Uhr Freitag: 8?12 Uhr";8237633;;;;
